Tanggal,Hour_Created,Hour_Update,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-20,10,NULL,2,HD,not_yet,1349
2022-11-20,10,NULL,2,LV,not_yet,12
2022-11-20,10,NULL,2,Person,not_yet,84
2022-11-20,10,NULL,5,HD,not_yet,1112
2022-11-20,10,NULL,5,LV,not_yet,1385
2022-11-20,10,NULL,5,Person,not_yet,263
2022-11-20,11,NULL,1,HD,not_yet,553
2022-11-20,11,NULL,1,LV,not_yet,188
2022-11-20,11,NULL,1,Person,not_yet,1046
2022-11-20,11,NULL,2,HD,not_yet,1400
2022-11-20,11,NULL,2,LV,not_yet,47
2022-11-20,11,NULL,2,Person,not_yet,384
2022-11-20,11,NULL,5,HD,not_yet,1761
2022-11-20,11,NULL,5,LV,not_yet,646
2022-11-20,11,NULL,5,Person,not_yet,281
2022-11-20,12,NULL,1,LV,not_yet,2
2022-11-20,12,NULL,1,Person,not_yet,26
2022-11-20,12,NULL,2,HD,not_yet,2
2022-11-20,12,NULL,2,Person,not_yet,84
2022-11-20,12,NULL,5,HD,not_yet,957
2022-11-20,12,NULL,5,LV,not_yet,169
2022-11-20,12,NULL,5,Person,not_yet,113
2022-11-20,13,NULL,1,HD,not_yet,2623
2022-11-20,13,NULL,1,LV,not_yet,2
2022-11-20,13,NULL,1,Person,not_yet,69
2022-11-20,13,NULL,2,HD,not_yet,2423
2022-11-20,13,NULL,2,LV,not_yet,1
2022-11-20,13,NULL,2,Person,not_yet,10
2022-11-20,13,NULL,5,HD,not_yet,1383
2022-11-20,13,NULL,5,LV,not_yet,232
2022-11-20,13,NULL,5,Person,not_yet,11
2022-11-20,14,NULL,1,HD,not_yet,1830
2022-11-20,14,NULL,1,LV,not_yet,11
2022-11-20,14,NULL,1,Person,not_yet,195
2022-11-20,14,NULL,2,HD,not_yet,1527
2022-11-20,14,NULL,2,LV,not_yet,5
2022-11-20,14,NULL,2,Person,not_yet,93
2022-11-20,14,NULL,5,HD,not_yet,1832
2022-11-20,14,NULL,5,LV,not_yet,187
2022-11-20,14,NULL,5,Person,not_yet,15
2022-11-20,15,NULL,1,HD,not_yet,279
2022-11-20,15,NULL,1,Person,not_yet,5
2022-11-20,15,NULL,2,HD,not_yet,1114
2022-11-20,15,NULL,2,LV,not_yet,5
2022-11-20,15,NULL,2,Person,not_yet,79
2022-11-20,15,NULL,5,HD,not_yet,458
2022-11-20,15,NULL,5,LV,not_yet,42
2022-11-20,16,NULL,2,HD,not_yet,2253
2022-11-20,16,NULL,2,Person,not_yet,72
2022-11-20,17,NULL,1,HD,not_yet,413
2022-11-20,17,NULL,1,Person,not_yet,21
2022-11-20,17,NULL,2,HD,not_yet,862
2022-11-20,17,NULL,2,LV,not_yet,1
2022-11-20,17,NULL,2,Person,not_yet,98
2022-11-20,17,NULL,5,HD,not_yet,512
2022-11-20,17,NULL,5,LV,not_yet,243
2022-11-20,17,NULL,5,Person,not_yet,66
2022-11-21,6,NULL,1,HD,not_yet,5
2022-11-21,6,NULL,2,HD,not_yet,159
2022-11-21,6,NULL,2,Person,not_yet,1
2022-11-21,6,NULL,5,HD,not_yet,343
2022-11-21,6,NULL,5,LV,not_yet,38
2022-11-21,7,NULL,1,HD,not_yet,167
2022-11-21,7,NULL,1,Person,not_yet,320
2022-11-21,7,NULL,5,HD,not_yet,347
2022-11-21,7,NULL,5,LV,not_yet,277
2022-11-21,7,NULL,5,Person,not_yet,10
2022-11-21,8,NULL,1,HD,not_yet,272
2022-11-21,8,NULL,1,Person,not_yet,506
2022-11-21,8,NULL,2,HD,not_yet,846
2022-11-21,8,NULL,2,Person,not_yet,5
2022-11-21,8,NULL,5,HD,not_yet,787
2022-11-21,8,NULL,5,LV,not_yet,86
2022-11-21,8,NULL,5,Person,not_yet,74
2022-11-23,8,NULL,1,Person,not_yet,1
2022-11-23,8,NULL,5,HD,not_yet,5
2022-11-23,9,NULL,1,Person,not_yet,499
2022-11-23,9,NULL,2,HD,not_yet,3
2022-11-23,9,NULL,2,LV,not_yet,117
2022-11-23,9,NULL,2,Person,not_yet,14
2022-11-23,9,NULL,5,HD,not_yet,148
2022-11-23,9,NULL,5,LV,not_yet,36
2022-11-23,9,NULL,5,Person,not_yet,12
2022-11-23,10,NULL,1,Person,not_yet,1528
2022-11-23,10,NULL,2,HD,not_yet,11
2022-11-23,10,NULL,2,LV,not_yet,327
2022-11-23,10,NULL,2,Person,not_yet,57
2022-11-23,10,NULL,5,HD,not_yet,315
2022-11-23,10,NULL,5,LV,not_yet,3
2022-11-23,10,NULL,5,Person,not_yet,1
2022-11-23,11,NULL,1,Person,not_yet,93
2022-11-23,11,NULL,2,HD,not_yet,1
2022-11-23,11,NULL,2,LV,not_yet,170
2022-11-23,11,NULL,2,Person,not_yet,987
2022-11-23,11,NULL,5,HD,not_yet,946
2022-11-23,11,NULL,5,LV,not_yet,14
2022-11-23,11,NULL,5,Person,not_yet,2
2022-11-23,12,NULL,1,Person,not_yet,2321
2022-11-23,12,NULL,2,LV,not_yet,291
2022-11-23,12,NULL,2,Person,not_yet,683
2022-11-23,12,NULL,5,HD,not_yet,1192
2022-11-23,12,NULL,5,LV,not_yet,50
2022-11-23,12,NULL,5,Person,not_yet,1
2022-11-23,13,NULL,1,HD,not_yet,193
2022-11-23,13,NULL,1,Person,not_yet,116
2022-11-23,13,NULL,2,HD,not_yet,5
2022-11-23,13,NULL,2,LV,not_yet,39
2022-11-23,13,NULL,2,Person,not_yet,284
2022-11-23,13,NULL,5,HD,not_yet,696
2022-11-23,13,NULL,5,LV,not_yet,39
2022-11-23,13,13,2,HD,false,4
2022-11-23,13,13,2,LV,false,8
2022-11-23,13,13,2,Person,false,23
2022-11-23,14,NULL,1,HD,not_yet,1569
2022-11-23,14,NULL,1,LV,not_yet,2
2022-11-23,14,NULL,1,Person,not_yet,3
2022-11-23,14,NULL,2,HD,not_yet,307
2022-11-23,14,NULL,2,LV,not_yet,219
2022-11-23,14,NULL,2,Person,not_yet,16
2022-11-23,14,NULL,5,HD,not_yet,2536
2022-11-23,14,NULL,5,LV,not_yet,645
2022-11-23,14,NULL,5,Person,not_yet,1
2022-11-23,15,NULL,1,HD,not_yet,611
2022-11-23,15,NULL,1,LV,not_yet,2
2022-11-23,15,NULL,1,Person,not_yet,248
2022-11-23,15,NULL,2,HD,not_yet,1907
2022-11-23,15,NULL,2,LV,not_yet,50
2022-11-23,15,NULL,2,Person,not_yet,13
2022-11-23,15,NULL,5,HD,not_yet,2389
2022-11-23,15,NULL,5,LV,not_yet,247
2022-11-23,16,NULL,1,HD,not_yet,145
2022-11-23,16,NULL,1,Person,not_yet,200
2022-11-23,16,NULL,2,HD,not_yet,1686
2022-11-23,16,NULL,2,LV,not_yet,13
2022-11-23,16,NULL,2,Person,not_yet,58
2022-11-23,16,NULL,5,HD,not_yet,810
2022-11-23,16,NULL,5,LV,not_yet,50
2022-11-23,16,NULL,5,Person,not_yet,4
2022-11-23,16,16,2,HD,false,12
2022-11-23,16,16,2,Person,false,4
2022-11-23,17,NULL,1,HD,not_yet,770
2022-11-23,17,NULL,1,LV,not_yet,10
2022-11-23,17,NULL,1,Person,not_yet,22
2022-11-23,17,NULL,2,HD,not_yet,1043
2022-11-23,17,NULL,2,LV,not_yet,2
2022-11-23,17,NULL,2,Person,not_yet,184
2022-11-23,17,NULL,5,HD,not_yet,1058
2022-11-23,17,NULL,5,LV,not_yet,218
2022-11-23,17,NULL,5,Person,not_yet,33
2022-11-24,6,NULL,2,HD,not_yet,471
2022-11-24,6,NULL,2,Person,not_yet,19
2022-11-24,6,NULL,5,HD,not_yet,242
2022-11-24,6,NULL,5,LV,not_yet,14
2022-11-24,6,NULL,5,Person,not_yet,3
2022-11-24,12,NULL,5,HD,not_yet,61
2022-11-24,12,NULL,5,LV,not_yet,3
2022-11-24,13,NULL,1,HD,not_yet,401
2022-11-24,13,NULL,1,Person,not_yet,23
2022-11-24,13,NULL,2,HD,not_yet,2284
2022-11-24,13,NULL,2,Person,not_yet,114
2022-11-24,13,NULL,5,HD,not_yet,824
2022-11-24,13,NULL,5,LV,not_yet,17
2022-11-24,13,NULL,5,Person,not_yet,69
2022-11-24,14,NULL,1,HD,not_yet,10
2022-11-24,14,NULL,1,Person,not_yet,5
2022-11-24,14,NULL,2,HD,not_yet,2353
2022-11-24,14,NULL,2,LV,not_yet,2
2022-11-24,14,NULL,2,Person,not_yet,16
2022-11-24,14,NULL,5,HD,not_yet,747
2022-11-24,14,NULL,5,LV,not_yet,48
2022-11-24,14,NULL,5,Person,not_yet,53
2022-11-24,15,NULL,1,HD,not_yet,135
2022-11-24,15,NULL,1,LV,not_yet,10
2022-11-24,15,NULL,1,Person,not_yet,103
2022-11-24,15,NULL,2,HD,not_yet,1709
2022-11-24,15,NULL,2,LV,not_yet,157
2022-11-24,15,NULL,2,Person,not_yet,3
2022-11-24,15,NULL,5,HD,not_yet,736
2022-11-24,15,NULL,5,LV,not_yet,29
2022-11-24,15,NULL,5,Person,not_yet,25
2022-11-24,16,NULL,1,HD,not_yet,415
2022-11-24,16,NULL,1,Person,not_yet,266
2022-11-24,16,NULL,2,HD,not_yet,2937
2022-11-24,16,NULL,2,LV,not_yet,3
2022-11-24,16,NULL,2,Person,not_yet,4
2022-11-24,16,NULL,5,HD,not_yet,779
2022-11-24,16,NULL,5,LV,not_yet,158
2022-11-24,16,NULL,5,Person,not_yet,58
2022-11-24,17,NULL,1,HD,not_yet,137
2022-11-24,17,NULL,1,Person,not_yet,114
